Country,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.UHC.SRVS.CV.XD,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.STA.DIAB.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SH.DYN.NCOM.ZS,SH.DYN.NCOM.FE.ZS,SH.DYN.NCOM.MA.ZS,SH.DTH.COMM.ZS,SH.DTH.INJR.ZS,SH.DTH.NCOM.ZS,SH.H2O.BASW.ZS,SH.STA.BASS.ZS,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO.ZS,SP.POP.0014.FE.ZS,SP.POP.0014.MA.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.FE.ZS,SP.POP.1564.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.TOTL
NER,0.3,0.05,0.3109,37.0,7.73996263742447,29.2616500854492,78.8516464233398,47.8285133838654,13.9954128265381,37.7135734558105,2.4,63.212,62.024,60.9,222.743,251.729,20.0,19.8,20.1,62.7,10.4,27.0,50.2730650635092,13.5666596878817,0.267188372592283,0.200988058965605,2.69836532103518,2.49266176691187,2.59500788269853,49.3263218281934,50.6362611129134,49.9843246094453,47.9753128507715,46.8710771201748,47.4206675078562,22442948.0
NGA,0.5,0.3827,1.4524,42.0,3.75553853809834,73.9249801635742,221.095001220703,77.2248029708862,57.0884246826172,170.740188598633,3.1,55.244,54.332,53.45,324.961,364.321,22.5,23.9,20.9,62.7,8.3,29.0,71.376630701811,39.1717540974593,0.241342450383656,0.20061221071083,2.92895294705937,2.57055965650483,2.74737700532743,43.4778083916695,44.2452834067302,43.8666399781742,53.5932386612712,53.184156936765,53.3859830164984,195874740.0
NIC,0.9,1.0056,1.5775,73.0,8.64546522498131,192.083389282227,506.154968261719,32.5990498065948,62.6173629760742,165.001724243164,11.4,77.77,74.275,70.741,102.575,200.678,14.2,13.7,14.8,10.9,12.7,76.4,81.5247635350893,74.4347308149472,1.32977271472668,0.875364918436826,5.91896929118945,4.55657330173087,5.24749744838026,28.9880143258375,31.4506266884784,30.2016811999565,65.0930163829731,63.9928000097908,64.5508213516632,6465513.0
NLD,4.7,3.5067,11.1043,86.0,10.1008348166943,4911.4404296875,5513.10009765625,11.0869333148003,544.528137207031,611.233703613281,5.4,83.4,81.7609756097561,80.2,51.048,65.56,11.2,9.7,12.7,5.2,5.2,89.6,99.9999992834541,97.7136100615755,5.74881365238194,3.64646480347354,20.5999506038654,17.7804563494867,19.1961926333387,15.6065173017198,16.6141236407348,16.1081587098378,63.7935320944148,65.6054200097785,64.6956486568235,17231624.0
NOR,3.9,4.6336,18.1247,87.0,10.4463420808315,7936.375,6518.873046875,14.1772866249084,1125.16259765625,924.199279785156,5.3,84.4,82.8121951219512,81.3,38.861,62.494,9.2,7.7,10.7,7.3,5.6,87.0,100.000004601753,98.0543915037278,5.24231116221977,3.2039950192161,18.5260279050766,15.599985896439,17.0492221563211,17.2579110721912,17.8346209018485,17.5490383783174,64.2160610227322,66.5653932017125,65.4017394653615,5311916.0
NZL,2.8,3.0252,10.955,87.0,9.1700553894043,3937.22192382813,3767.51342773438,13.5770738124847,534.5595703125,511.518096923828,6.2,83.6,81.8585365853659,80.2,52.507,80.56,10.1,8.6,11.6,4.6,6.0,89.5,100.0,100.0,4.28399263136679,3.17823476764377,16.4490802064611,14.8285315947267,15.6524245271741,18.8161001815617,20.51942916912,19.6534314569849,64.7348196119773,64.6520392361532,64.694144015841,4841000.0
OMN,1.6,1.9697,4.3004,69.0,3.849071636796,587.646301269531,1590.84326171875,6.69259130954742,39.3287620544434,106.468635559082,10.1,80.134,77.633,75.89,63.183,101.388,17.8,15.5,19.4,10.5,17.7,71.9,91.9380784188944,99.9999986835267,0.627624486973292,0.29164289654679,3.6554408529362,1.73485788449385,2.39278695625796,31.7991942543444,17.2685606196109,22.2465059852286,64.5453648927194,80.9965814958952,75.3607070585134,4829483.0
PAK,0.6,0.9753,0.5004,45.0,2.89863366633654,44.5929641723633,160.558456420898,60.2368772029877,26.8614082336426,96.7153854370117,19.9,68.109,67.114,66.194,137.509,172.896,24.7,22.6,26.6,34.9,7.3,57.8,91.4654507329944,59.869495032297,0.640955465905393,0.668168493512301,4.34885222794246,4.27875160519086,4.31277431133756,34.960035782404,35.5619530675891,35.2698145995487,60.6911119896536,60.1592953272201,60.4174110891137,212215030.0
PAN,2.3,1.5699,1.41,79.0,7.31949135661125,1112.30322265625,1794.80969238281,33.2700669765472,370.064025878906,597.134399414063,7.7,81.593,78.329,75.235,76.653,148.159,13.0,10.8,15.4,15.6,9.7,74.6,96.3824189477176,83.3154589674842,2.15027042689743,1.69079701355295,8.68335634464581,7.52824765602523,8.10473107966757,26.5295166856802,27.5930922879431,27.0623043241241,64.787126969674,64.8786600560317,64.8329645962083,4176873.0
PER,1.6,1.27,1.35,77.0,4.99515049159527,332.570922851563,681.234558105469,28.1882584095001,93.7459487915039,192.02815246582,6.6,79.28,76.516,73.834,84.815,146.37,12.6,11.2,14.1,20.3,10.5,69.2,91.1278709709881,74.3429565941762,1.90024292853648,1.46155999397479,8.57111469284798,7.59953034594529,8.08839279183076,25.4123692965853,26.1736709086728,25.7906028460802,66.0165160105667,66.2267987453819,66.121004362089,31989256.0
PHL,1.0,1.275,0.24,61.0,4.44640778005123,132.900985717773,371.742340087891,53.045779466629,70.4983596801758,197.193634033203,7.1,75.387,71.095,67.123,130.91,235.071,26.8,21.0,32.8,25.2,7.5,67.3,93.568376039874,76.5335020674233,1.04925957731597,0.529499112361671,5.97300619445694,4.28104784101661,5.12256876829946,30.3130785384273,31.6061930154094,30.9630402017999,63.7139152671157,64.112759143574,63.9143910299006,106651922.0
PNG,4.0241999626,0.0529,0.5125,40.0,2.46927607804537,61.4578399658203,103.899589538574,8.99854451417923,5.5303111076355,9.34945011138916,17.9,65.576,64.263,63.039,187.7,251.144,30.0,26.6,33.6,36.1,8.0,55.9,41.3270494165713,12.9492669676698,0.395691298137517,0.301746207625705,3.76141670489341,3.14197165898717,3.44526925145617,35.3543553926763,36.2587659276761,35.8159344007888,60.8842279024303,60.5992624133368,60.738796347755,8606316.0
POL,6.5,2.3998,5.7221,75.0,6.5419539809227,906.820129394531,1958.16760253906,23.0497926473618,209.020156860352,451.353546142578,6.1,81.8,77.7536585365854,73.9,61.842,160.653,18.7,12.4,25.3,5.0,4.7,90.3,99.7246825407346,98.7966102160572,6.02310669715736,2.90312619081144,20.6154300891841,14.2234217416407,17.5178167625452,14.2320242281192,15.9246376723283,15.052276813695,65.1525456826967,69.851940586031,67.4299064237598,37974750.0
PRI,3.3199999332,1.75,,,,,,,,,13.7,83.382,79.7781951219512,76.346,63.033,146.208,,,,,,,97.1247906621916,97.1705527086894,5.79355342124807,3.81727029057804,20.7999011461031,16.3349306661611,18.6748502103569,15.5528667630116,18.2490317063417,16.8360861114438,63.6472320908854,65.4160376274972,64.4890636781993,3195153.0
PRT,3.4,3.3356,6.3725,82.0,8.96957442164421,1908.03393554688,2917.35571289063,27.5320798158646,525.321472167969,803.208679199219,9.8,84.9,81.7243902439025,78.7,42.442,103.994,11.1,7.0,15.5,10.2,4.2,85.6,99.9076602092441,99.6089231422543,7.75348486193732,4.92825496004909,24.1733811299535,19.4845639709424,21.9538575375873,12.4420854420078,14.5880412837076,13.4579078221324,63.3845334280387,65.9273947453501,64.5882346402803,10283822.0
PRY,1.3,1.366,1.1669,69.0,6.65456876158714,381.113067626953,866.626953125,44.1762536764145,168.361480712891,382.843292236328,9.6,76.25,74.131,72.159,120.525,163.978,17.5,16.3,18.7,13.7,12.0,74.4,99.6101977284878,89.7836914311379,1.40835678059795,1.01873058586409,6.82476265128604,6.04882770920052,6.43021500946081,29.2786236991887,29.5970171744864,29.4405055961229,63.8966136495253,64.3541551163131,64.1292793944163,6956071.0
PSE,1.2000000477,0.837,,,,,,,,,9.5,75.595,73.895,72.263,92.308,126.513,,,,,,,96.8268962441673,96.9390069116479,0.498672779268232,0.345939397968959,3.35141491620002,2.92124800891261,3.13330573708009,38.6508960878599,39.2353981181513,38.9473612779327,57.9976889959401,57.8433538729361,57.9193329849872,4569087.0
QAT,1.2,0.0008,6.6028,68.0,2.60742865502834,1649.18615722656,3354.3779296875,8.902657777071,146.821411132813,298.628784179688,15.6,81.876,80.1,78.981,31.873,41.498,15.3,13.7,16.0,5.2,25.9,68.9,99.5681019362621,100.0,0.282074199309931,0.0873684295727136,1.71284494284402,1.25862912030228,1.3700703387375,27.1055400722944,9.13197679761139,13.5407641851225,71.1816149848616,89.6093940820863,85.08916547614,2781677.0
ROU,6.3,2.2586,6.0979,74.0,5.15788830816746,555.104736328125,1367.79187011719,20.4880461096764,113.730110168457,280.233856201172,6.9,79.2,75.409756097561,71.8,73.319,171.82,21.4,13.9,29.3,4.2,3.6,92.2,100.0,84.3099243448145,5.99391902301779,3.42296861334011,21.4068023029471,15.0999115683236,18.3387013938296,14.7086713581511,16.4063781649516,15.5345549605626,63.8845263389018,68.4937102667248,66.1267436456077,19466145.0
RUS,8.2,4.0139,8.6212,74.0,5.34457787871361,585.873229980469,1404.21667480469,40.4930830001831,237.238128662109,568.610595703125,6.1,77.81,72.6573170731707,67.75,120.336,321.526,25.4,16.1,36.5,4.8,7.8,87.4,97.089911200025,90.4822246231903,5.26351835803256,2.03218740166955,18.3652394061229,10.4025045955845,14.6747083203719,16.260080389547,19.8287833528699,17.9140805801319,65.3746802043301,69.7687120515456,67.4112110994962,144478050.0
RWA,1.6,0.1346,0.8307,57.0,6.57159835100174,49.2044563293457,134.371490478516,6.24799951910973,3.074294090271,8.39553070068359,5.1,70.784,68.7,66.518,161.59,216.342,18.2,17.0,19.6,42.4,13.5,44.0,57.7132785349129,66.5738423996839,0.441287970807325,0.283653239332565,3.39993594284209,2.46024148324821,2.9381960775388,39.2114512718095,40.7665634914609,39.9755730179801,57.3886127853484,56.7731950252909,57.0862309044811,12301939.0
SAU,2.7,2.39,5.7,74.0,5.23025318980217,1093.40551757813,2826.33447265625,16.8597862124443,184.345855712891,476.513977050781,15.8,76.615,74.998,73.799,76.148,91.872,16.4,14.2,17.8,10.6,16.3,73.2,100.0,100.0,0.6139560660256,0.393734479827539,3.65008481749681,3.06543640838103,3.31408802294981,29.0061998175377,22.1097577523017,25.0428481279098,67.3437153649655,74.8248058393173,71.6430638491404,33699947.0
SDN,0.8,0.41,0.83,44.0,6.34180754423141,193.793045043945,313.680725097656,72.4796652793884,140.460556030273,227.354751586914,22.1,66.947,65.095,63.277,187.141,244.878,26.0,24.3,27.8,35.2,12.6,52.2,60.2670911611228,36.5750324901267,0.55897573806011,0.438399677869001,3.82852564454935,3.33331641200547,3.58116052825144,39.9055504468183,41.1131947757539,40.5087918665567,56.2659239086324,55.5534888122406,55.9100476051919,41801533.0
SGP,2.4,2.3063,7.2141,86.0,4.44038286805153,2618.71240234375,4269.9580078125,32.1252405643463,841.267700195313,1371.73425292969,5.5,85.4,83.1463414634146,81.0,34.939,59.839,9.3,6.9,11.8,22.7,3.7,73.6,100.0,100.0,2.77748824855553,1.57583077961962,12.7534423404781,10.2886097455356,11.4633801933791,12.5482977260982,12.0324795882645,12.2782826362627,74.6982599334237,77.6789106661999,76.2583371703582,5638676.0
SLE,0.4,0.025,0.9962,39.0,13.4209275245667,66.4021835327148,205.361297607422,50.4125535488129,33.4750366210938,103.527870178223,2.4,55.106,54.309,53.468,353.346,392.263,30.5,32.6,28.2,57.9,8.9,33.2,60.8069869359389,15.6526615756648,0.428234027548853,0.276193937989888,3.37999745458946,2.55123634721658,2.96655621131612,40.8999225944827,41.220064903872,41.0596393534767,55.7200799509278,56.2286987489114,55.9738044352072,7650154.0
SLV,1.3,1.569,2.278,76.0,7.22756013274193,282.491027832031,582.735778808594,29.1964501142502,82.4773559570313,170.138168334961,8.8,77.635,73.096,68.229,103.299,268.447,14.0,13.1,15.1,10.8,15.4,73.8,97.3883749714943,87.4335666680769,2.03761415377831,1.64624432140546,9.04192930148327,7.43239831678419,8.28709000480629,24.9907339856295,29.5567606998075,27.1320809139623,65.9673367128873,63.0108409834083,64.5808290812314,6420744.0
SMR,3.8,6.1468,8.7768,,7.36408308148384,3361.64477539063,4369.72412109375,17.3339992761612,582.70751953125,757.447937011719,5.9,86.8,85.4170731707317,84.1,,,,,,,,,100.0,100.0,,,,,,,,,,,,33785.0
SRB,5.7,3.125,6.1203,65.0,8.43395814299583,528.545166015625,1382.16259765625,41.7523622512817,220.680068969727,577.085571289063,9.0,78.1,75.5390243902439,73.1,74.794,141.791,19.1,13.7,24.6,2.4,3.0,94.6,85.5221162874491,97.5671990309622,4.89551454243343,3.14271266676729,20.4767218606474,16.1276022629553,18.3457926916963,14.8574712336456,16.5560159337055,15.6896807521828,64.6658069057069,67.3163818033392,65.964526556121,6982604.0
SSD,,,,31.0,9.76099446415901,22.8885726928711,175.767303466797,19.1928148269653,4.3929615020752,33.734691619873,10.2,59.135,57.604,56.115,300.898,350.689,19.8,19.5,20.0,63.4,9.3,27.3,40.6760121501644,11.3216843085857,0.51462968657159,0.388347711659607,3.66459815369442,3.13283417911366,3.39848287985152,41.342465283743,42.296911678978,41.8201214348455,54.9929365625626,54.5702541419083,54.7813956853029,10975920.0
SVK,5.8,2.4643,9.1727,77.0,6.74253478646278,1186.13635253906,2184.20288085938,18.7131851911545,221.963882446289,408.73388671875,6.5,80.7,77.1658536585366,73.8,64.214,144.821,17.2,11.2,23.6,4.8,6.0,89.2,99.7877341102388,97.938130390532,4.38090822321796,2.06381765565781,18.4668768003292,12.6345707923298,15.629246504777,14.6882215605139,16.2460255757521,15.4461367603311,66.8449016391569,71.1194036319181,68.9246167348919,5446771.0
SVN,4.6,2.9953,9.68,79.0,8.18701758980751,1920.28186035156,2960.59326171875,12.3281687498093,236.735565185547,364.986938476563,5.9,84.0,81.0292682926829,78.2,45.488,90.934,12.7,8.9,16.4,5.0,6.6,88.4,99.5350255053679,99.1095679283407,7.13592646834857,3.49460207404943,22.4262533129377,16.7599289240034,19.6068796541788,14.5108346352009,15.5375726792691,15.0217750478021,63.0629120518614,67.7024983967275,65.3713452980191,2073894.0
SWE,2.6,5.3996,11.5434,86.0,11.0187463462353,5904.583984375,5699.60693359375,15.0326043367386,887.612731933594,856.799377441406,4.8,84.1,82.5121951219512,81.0,38.431,62.062,9.1,7.6,10.7,5.2,4.9,89.9,100.000002463404,99.2955203776241,6.26245881863494,4.08274767181263,21.5816856771574,18.6127365202349,20.0955249278002,17.1257053638979,18.0368054155876,17.5817854599214,61.2926089589447,63.3504580641775,62.3226896122783,10175214.0
SWZ,2.1,0.0796,2.0,63.0,6.93037807941437,224.736770629883,600.116760253906,10.4967460036278,23.5900497436523,62.9927291870117,4.5,63.968,59.401,55.284,309.883,479.936,26.7,24.4,29.8,53.7,9.6,36.7,69.0086551447465,58.3519832910244,0.931017632727223,0.27689602617271,5.02381312887996,2.95451843151102,4.01458794083506,36.9865724235709,39.2952752926595,38.1124915403848,57.9896144475492,57.7502062758295,57.8729205187801,1136191.0
SYC,3.6,0.9458,3.2613,71.0,5.0067350268364,791.656677246094,1485.47375488281,24.599426984787,194.74299621582,365.418029785156,12.3,77.4,72.8414634146341,68.5,97.723,201.609,21.2,13.2,28.7,11.9,7.3,80.8,96.2490125588016,100.0,2.44491014161428,1.01297815577799,8.93926885544336,6.31857661524883,7.59454560435034,23.6616498380644,23.6114175676489,23.6353711790393,67.3990813064922,70.0700058171023,68.7700832166104,96762.0
SYR,1.5,1.22,1.46,60.0,3.56564745306969,69.8921890258789,159.720306396484,53.6898612976074,37.5250205993652,85.7536163330078,13.5,77.763,71.779,66.578,73.258,237.292,21.8,18.7,24.9,5.1,49.8,45.1,97.2165062080837,91.2228713963244,0.904709829311499,0.689897816477938,4.87766390172596,4.1314377106432,4.50312442147583,30.9000338701979,31.9391444956634,31.4215408068559,64.2223022280761,63.9294177936934,64.0753347716682,16906283.0
TCD,0.4,0.0475,0.3637,28.0,4.48730140924454,29.730863571167,87.2985458374023,58.0231606960297,17.2507877349854,50.6533737182617,6.0,55.4,53.977,52.577,335.378,377.607,23.9,23.7,24.2,63.4,9.3,27.3,38.7005994293504,8.34248327844754,0.360835727122948,0.265347333835293,2.692245772835,2.26807251567264,2.48051894434901,46.8496662282424,47.4038611014141,47.126299988842,50.4580879989226,50.3280663829133,50.393181066809,15477751.0
THA,2.1,0.8096,2.9647,80.0,3.74601632356644,247.035110473633,670.877075195313,11.1465625464916,27.5359210968018,74.7797317504883,7.0,80.704,76.931,73.228,77.992,186.853,14.5,11.0,18.3,15.8,10.2,74.0,99.9307115766019,98.7507346105258,2.98745031228904,2.07568057408385,13.070383428671,10.6706231138268,11.9008931395893,16.1852053159386,18.0356384677442,17.0869888171064,70.7444112553905,71.293738418429,71.0121180433042,69428524.0
TTO,3.0,2.6697,3.5093,74.0,6.97873532772064,1124.09167480469,2205.806640625,39.7774338722229,447.134826660156,877.413269042969,11.0,76.092,73.38,70.751,108.616,186.336,21.3,18.0,24.6,9.0,10.3,80.7,98.1849620593945,93.3989059531058,2.23810654792296,1.42929538577141,11.7247087702432,9.7208104825674,10.7349535163324,19.8768664517258,20.9756197011222,20.419572570427,68.3984247780311,69.3035698163104,68.8454739132406,1389858.0
TUN,2.3,1.2722,2.6351,70.0,7.23245739936829,250.562225341797,863.290771484375,39.1201615333557,98.0203475952148,337.720703125,8.5,78.536,76.505,74.493,67.321,106.668,16.1,12.2,20.2,7.8,6.4,85.8,96.2547036371253,90.9213974244787,2.00762571361418,1.43186270028632,9.08001993431004,7.53854994832559,8.31567907898877,23.2036020276492,25.1528599571113,24.1701203463736,67.7163780380408,67.3085900945631,67.5142005746377,11565204.0
TUR,2.7,1.7605,2.6304,74.0,4.21630293130875,444.653686523438,1180.64184570313,17.3842012882233,77.2994918823242,205.245147705078,11.1,80.336,77.437,74.447,62.33,119.237,16.1,11.3,21.5,4.4,6.2,89.4,98.8757181526111,97.2972339627788,2.09672332281534,1.25823609528756,9.61982576896459,7.31500024881849,8.4832129399716,23.769858803014,25.5534278557979,24.6494101390807,66.6103154280214,67.1315718953836,66.8673769209477,82319724.0
TWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,0.7,0.0399,0.4126,43.0,3.6454513669014,33.916576385498,104.313980102539,24.0961372852325,8.17258453369141,25.1356430053711,5.7,66.824,65.015,63.17,193.172,249.798,17.9,17.4,18.5,55.8,11.2,32.9,56.7264503174468,29.9134390163845,0.356024144090241,0.195733816230634,3.01145825320924,2.19033734219814,2.60129917835952,43.5590592705853,44.6384698006925,44.0982381505459,53.4294824762055,53.1711928571093,53.3004626710946,56318348.0
UGA,0.5,0.0908,0.6303,45.0,6.18775598704815,38.426441192627,121.151786804199,39.0714079141617,15.0137519836426,47.3357086181641,2.5,65.173,62.973,60.655,233.267,302.371,21.9,20.3,23.8,54.5,12.7,32.9,49.1040323869049,18.4723181554851,0.276030832599754,0.135478194761969,2.30407943316335,1.566526354776,1.94098692046317,45.7995844143058,48.0968083105971,46.9305251819863,51.8963361525308,50.3366653346269,51.1284878975505,42723139.0
UKR,8.8,3.0075,7.0576,68.0,6.99532032012939,177.408889770508,584.591369628906,52.3169219493866,92.8148727416992,305.840209960938,6.1,76.72,71.5826829268293,66.69,111.279,292.069,24.7,16.2,35.1,4.1,5.0,91.0,93.7908201106734,96.2243559906192,5.60474030328313,2.37050281262019,20.3603891378939,11.883205000578,16.4346864392016,14.2859452168064,17.5822031798622,15.8124131732483,65.3536656452997,70.5345918195597,67.7529003875501,44622516.0
URY,2.8,5.0499,1.9299,80.0,9.29621160030365,1591.533203125,2101.91137695313,17.5494343042374,279.305053710938,368.87353515625,7.3,81.359,77.77,73.958,76.015,139.322,16.7,12.5,21.4,7.6,7.5,84.9,99.4023635004942,96.59619233959,6.07614463017916,2.71338358362398,17.4848909152669,11.9549212617339,14.8145195308593,19.4845254497412,21.8108960501158,20.6079810743386,63.0305836349919,66.2341826881503,64.5774993948021,3449299.0
USA,2.9,2.5948,8.55,84.0,17.0612692832947,10246.138671875,10246.138671875,10.9929218888283,1126.34997558594,1126.34997558594,10.8,81.1,78.5390243902439,76.1,81.935,139.141,14.6,11.8,17.5,5.2,6.6,88.3,99.2691920708955,99.9700187653163,4.64999078966128,3.10021645542017,17.3183560235252,14.2651769230979,15.8076540556035,18.1048535943438,19.3259514439618,18.7090399824651,64.576790382131,66.4088716329403,65.4833059619314,326687501.0
UZB,4.0,2.3685,12.0739,73.0,6.41438513994217,98.824577331543,447.872192382813,53.431361913681,52.8033180236816,239.304214477539,6.5,73.676,71.573,69.445,100.911,169.704,24.5,19.6,29.7,10.3,6.0,83.7,97.8334527096866,100.0,1.04558665702455,0.628220928301695,4.98750669804962,3.84753592906095,4.4191378781364,27.8447802809419,29.5321019714877,28.6860574147675,67.1677130210085,66.6203620994513,66.8948047070961,32955400.0
VEN,0.8,1.924,1.1223,74.0,1.18121011182666,94.229377746582,141.022201538086,62.9878759384155,59.353084564209,88.8268890380859,7.0,76.074,72.128,68.398,94.804,206.678,18.1,14.5,21.8,11.3,19.2,69.5,95.7237113191832,93.9350190169228,1.6479211108011,1.04285028681766,7.98845847421073,6.52812064097037,7.26698662012597,26.7442651479791,28.6112785495842,27.6666505810652,65.2672763778101,64.8606008094454,65.0663627988088,28870195.0
VNM,2.6,0.8199,1.4321,75.0,5.53212836384773,129.575958251953,375.643249511719,45.2579379081726,58.6434097290039,170.008392333984,6.0,79.442,75.317,71.207,76.363,188.583,17.1,11.5,23.4,11.5,11.3,77.2,94.7188056062128,83.5150494720583,2.63474876629828,1.27901625272562,8.85851161477899,5.68513188016056,7.2749782978793,21.9075528837872,24.4428519583873,23.1726768317012,69.2339355014338,69.8720161614521,69.5523448704195,95540395.0
ZAF,2.8,0.9101,3.5171,69.0,8.11311826109886,499.237548828125,1097.81921386719,7.7669233083725,38.775390625,85.2667694091797,12.7,67.398,63.857,60.463,248.816,376.404,26.2,21.2,32.3,39.6,9.1,51.3,92.6787019365247,75.7470984022963,0.973071799103723,0.463872849967536,6.32929983919748,4.27792953685043,5.31800500542302,28.3612038695412,29.8182111565665,29.0794891477129,65.3094962912614,65.9038593065831,65.6025058468641,57779622.0
ZMB,2.0,0.0913,0.8925,53.0,4.47034128010273,67.6486663818359,180.270660400391,11.8491314351559,8.01577949523926,21.3605079650879,4.5,66.447,63.51,60.533,221.573,321.143,17.9,17.4,18.5,60.6,10.2,29.2,59.9637565087881,26.370118490977,0.351255165105907,0.154686513601366,2.53061227284976,1.66007452379009,2.09967802593266,44.105812779342,45.7831336521512,44.9361411568244,53.3635749478082,52.5567918240588,52.9641808172429,17351822.0
ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
